edad_agrup,n_edu,sexo,localidad,af,cfk,fe,mm,hrl,fm,jm,lc,tf,afi,vc,fa,ms,fas,ds
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Virrey del Pino,Muy negativa,Muy negativa,Muy negativa,Regular positiva,Muy positiva,Positiva,Muy positiva,Regular negativa,Regular negativa,Regular negativa,Positiva,Muy negativa,Muy negativa,Muy negativa,Muy negativa
Entre 25 y 34 años,Universitario INCOMPLETO,Hombre,González Catán,Regular positiva,Regular positiva,Regular positiva,Negativa,Negativa,Regular positiva,Positiva,Regular negativa,Regular positiva,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Rafael Castillo,Regular positiva,Regular positiva,Regular positiva,Negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular positiva
55 años o más,Secundaria INCOMPLETA,Mujer,La Tablada,Positiva,Muy positiva,Positiva,Muy negativa,Muy negativa,Regular positiva,Muy negativa,Negativa,Muy negativa,Muy negativa,Muy negativa,Muy negativa,Muy negativa,Muy negativa,Positiva
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,Muy positiva,Muy positiva,Positiva,Muy negativa,Negativa,Negativa,Muy negativa,Negativa,Regular negativa,Negativa,Muy negativa,No la conozco,No lo conozco,No lo conozco,Positiva
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Laferrere,Muy negativa,Muy negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Regular negativa,Regular negativa,Negativa,Negativa,Negativa
Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Lomas del Mirador,Muy negativa,Muy negativa,Muy negativa,Negativa,Muy positiva,Negativa,Muy positiva,Negativa,Negativa,Negativa,Negativa,Negativa,Muy positiva,Muy positiva,Muy positiva
Entre 25 y 34 años,Primaria COMPLETA,Hombre,Isidro Casanova,Regular positiva,Muy negativa,Negativa,Positiva,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa
Entre 25 y 34 años,Universitario COMPLETO,Mujer,Laferrere,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Rafael Castillo,Positiva,Negativa,Regular negativa,Muy negativa,Positiva,Regular positiva,Muy negativa,Negativa,Negativa,Muy negativa,Muy negativa,Negativa,Negativa,Regular positiva,Regular positiva
Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,Villa Luzuriaga,Positiva,Positiva,Positiva,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Villa Luzuriaga,Positiva,Positiva,Regular positiva,Negativa,Regular negativa,Regular negativa,Muy negativa,Negativa,Regular negativa,Regular negativa,Regular positiva,Regular positiva,Regular negativa,Regular negativa,Regular negativa
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,González Catán,Regular positiva,Regular positiva,Muy negativa,Muy negativa,Muy negativa,Negativa,Muy negativa,Negativa,Negativa,No lo conozco,Regular positiva,No la conozco,Regular negativa,No lo conozco,Positiva
Entre 35 y 54 años,Primaria INCOMPLETA,Mujer,Laferrere,Regular negativa,Regular negativa,Regular positiva,Negativa,Negativa,Regular negativa,Regular positiva,Negativa,Regular positiva,Regular negativa,Negativa,Negativa,Regular negativa,Regular positiva,Regular negativa
Entre 35 y 54 años,Terciario COMPLETO,Hombre,Ciudad Evita,Negativa,Regular negativa,Negativa,Muy negativa,Negativa,Negativa,Muy negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Negativa,Muy negativa
55 años o más,Terciario COMPLETO,Mujer,González Catán,Muy positiva,Muy positiva,Regular positiva,Muy negativa,Negativa,Positiva,Muy negativa,Negativa,Regular negativa,Regular negativa,Muy negativa,Muy negativa,Negativa,No lo conozco,Muy positiva
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,San Justo,Muy negativa,Muy negativa,Muy negativa,Regular negativa,Regular negativa,Regular negativa,Muy negativa,Negativa,Negativa,Negativa,Regular positiva,Muy negativa,Regular negativa,Regular negativa,Muy negativa
Entre 35 y 54 años,Terciario COMPLETO,Mujer,Lomas del Mirador,Muy negativa,Muy negativa,Regular negativa,Negativa,Muy negativa,Regular positiva,Regular positiva,Negativa,Regular negativa,Regular positiva,Positiva,Negativa,Regular negativa,Regular negativa,Negativa
55 años o más,Secundaria INCOMPLETA,Hombre,Ramos Mejía,Negativa,Negativa,Negativa,Regular positiva,Positiva,Regular positiva,Negativa,Negativa,Negativa,Negativa,Regular positiva,Negativa,Negativa,Negativa,Negativa
